n,runtime
1,0.0024101734161376953
10,59.20600986480713
17,1.4176421165466309
2,0.00029206275939941406
3,0.0033147335052490234
4,0.003530740737915039
5,0.007459402084350586
6,0.22349143028259277
7,0.2510504722595215
8,1.6321699619293213
9,9.129554986953735
