,"K_{1,3}",P_4,C_4,K_4,K_3+e,K_4-e,K_3,P_3,K_2,2K_2,E_4,n,s,t,counter
0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,True
1,4,17,0,0,0,0,0,52,85,14,38,10,3,6,True
2,10,24,2,0,0,0,0,54,76,7,37,10,3,6,True
3,15,31,2,0,0,0,0,53,70,7,32,10,3,6,True
4,7,25,1,0,0,0,0,65,68,19,25,10,3,6,True
5,14,37,3,0,0,0,0,61,61,8,26,10,3,6,True
6,12,30,2,0,0,0,0,57,70,9,30,10,3,6,True
7,6,21,0,0,0,0,0,59,75,17,32,10,3,6,True
8,6,19,1,0,0,0,0,59,77,17,31,10,3,6,True
9,5,13,1,0,0,0,0,53,84,16,38,10,3,6,True
10,13,30,3,0,0,0,0,57,69,6,32,10,3,6,True
11,8,29,1,0,0,0,0,61,71,14,26,10,3,6,True
12,8,30,2,0,0,0,0,40,30,10,6,10,3,6,True
13,14,36,2,0,0,0,0,60,62,12,24,10,3,6,True
14,14,39,4,0,0,0,0,32,28,3,6,10,3,6,True
15,20,45,4,0,0,0,0,58,53,6,24,10,3,6,True
16,11,34,2,0,0,0,0,66,59,15,23,10,3,6,True
17,12,26,2,0,0,0,0,58,70,14,28,10,3,6,True
18,18,35,4,0,0,0,0,56,63,7,27,10,3,6,True
19,15,37,1,0,0,0,0,59,60,13,25,10,3,6,True
20,5,24,0,0,0,0,0,56,81,14,30,10,3,6,True
21,20,43,5,0,0,0,0,58,55,6,23,10,3,6,True
22,17,39,4,0,0,0,0,65,50,14,21,10,3,6,True
23,14,44,2,0,0,0,0,65,52,14,19,10,3,6,True
24,11,31,2,0,0,0,0,58,70,8,30,10,3,6,True
25,12,38,2,0,0,0,0,62,62,10,24,10,3,6,True
26,5,19,0,0,0,0,0,59,78,20,29,10,3,6,True
27,11,32,3,0,0,0,0,35,33,4,8,10,3,6,True
28,17,39,3,0,0,0,0,55,64,5,27,10,3,6,True
29,12,38,2,0,0,0,0,62,62,10,24,10,3,6,True
30,12,30,4,0,0,0,0,70,54,14,26,10,3,6,True
31,24,36,9,0,0,0,0,58,54,3,26,10,3,6,True
32,14,38,3,0,0,0,0,59,64,7,25,10,3,6,True
33,14,34,4,0,0,0,0,63,60,9,26,10,3,6,True
34,6,20,3,0,0,0,0,70,66,20,25,10,3,6,True
35,12,31,4,0,0,0,0,68,57,13,25,10,3,6,True
36,18,31,9,0,0,0,0,72,45,10,25,10,3,6,True
37,30,35,15,0,0,0,0,60,45,0,25,10,3,6,True
38,6,24,2,0,0,0,0,66,70,18,24,10,3,6,True
39,18,39,7,0,0,0,0,64,53,6,23,10,3,6,True
40,24,44,9,0,0,0,0,63,42,6,22,10,3,6,True
41,24,46,9,0,0,0,0,59,48,4,20,10,3,6,True
42,14,38,3,0,0,0,0,59,64,7,25,10,3,6,True
43,6,19,1,0,0,0,0,59,77,17,31,10,3,6,True
44,5,20,1,0,0,0,0,60,77,16,31,10,3,6,True
45,10,34,4,0,0,0,0,42,21,10,5,10,3,6,True
46,16,40,4,0,0,0,0,66,50,13,21,10,3,6,True
47,16,41,7,0,0,0,0,34,19,4,5,10,3,6,True
48,22,47,7,0,0,0,0,64,41,8,21,10,3,6,True
49,13,39,4,0,0,0,0,70,50,15,19,10,3,6,True
50,11,30,3,0,0,0,0,70,55,17,24,10,3,6,True
51,23,36,8,0,0,0,0,58,55,6,24,10,3,6,True
52,11,31,3,0,0,0,0,68,58,16,23,10,3,6,True
53,14,41,3,0,0,0,0,67,51,15,19,10,3,6,True
54,20,43,5,0,0,0,0,58,55,6,23,10,3,6,True
55,20,40,6,0,0,0,0,60,54,7,23,10,3,6,True
56,20,44,5,0,0,0,0,56,58,5,22,10,3,6,True
57,7,27,1,0,0,0,0,61,74,17,23,10,3,6,True
58,24,35,12,0,0,0,0,69,39,9,22,10,3,6,True
59,19,44,6,0,0,0,0,69,39,15,18,10,3,6,True
60,13,33,5,0,0,0,0,64,62,8,25,10,3,6,True
61,14,45,2,0,0,0,0,63,55,13,18,10,3,6,True
62,23,54,8,0,0,0,0,64,35,11,15,10,3,6,True
63,17,42,3,0,0,0,0,63,51,13,21,10,3,6,True
64,14,37,4,0,0,0,0,71,47,17,20,10,3,6,True
65,4,21,0,0,0,0,0,36,45,9,11,10,3,6,True
66,12,40,3,0,0,0,0,34,27,5,5,10,3,6,True
67,13,27,4,0,0,0,0,66,60,18,22,10,3,6,True
68,11,34,2,0,0,0,0,66,59,15,23,10,3,6,True
69,19,33,7,0,0,0,0,66,50,13,22,10,3,6,True
70,17,39,4,0,0,0,0,65,50,14,21,10,3,6,True
71,11,29,4,0,0,0,0,37,32,5,8,10,3,6,True
72,5,24,0,0,0,0,0,56,81,14,30,10,3,6,True
73,17,36,4,0,0,0,0,57,63,6,27,10,3,6,True
74,5,20,1,0,0,0,0,60,77,16,31,10,3,6,True
75,8,30,2,0,0,0,0,40,30,10,6,10,3,6,True
76,17,33,5,0,0,0,0,59,62,7,27,10,3,6,True
77,14,36,2,0,0,0,0,60,62,12,24,10,3,6,True
78,14,31,5,0,0,0,0,65,59,10,26,10,3,6,True
