n,runtime
1,0.0
15,17.702479362487793
16,0.08702635765075684
17,0.0749979019165039
2,0.0009965896606445312
3,0.0010006427764892578
4,0.002000093460083008
5,0.003996133804321289
6,0.04799699783325195
7,0.31699705123901367
8,3.407130479812622
9,42.91021156311035
